               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 124,            0.016987,            0.008776,            0.010113,             0.93445,             0.88024,             0.95328,              0.8392,           0.0092376,           0.0027248,            0.026047,           0.0067555,           0.0067555,           0.0067555
                 125,            0.016783,           0.0087661,            0.010596,             0.93414,             0.87999,             0.95282,             0.83909,           0.0092249,           0.0027211,            0.026269,           0.0067101,           0.0067101,           0.0067101
                 126,            0.016816,           0.0086952,            0.010159,              0.9341,             0.87936,             0.95238,              0.8399,           0.0092099,           0.0027187,             0.02646,           0.0066647,           0.0066647,           0.0066647
                 127,            0.016677,              0.0087,           0.0099694,             0.93419,             0.87885,             0.95152,             0.83972,           0.0091949,           0.0027172,            0.026636,           0.0066191,           0.0066191,           0.0066191
                 128,            0.016893,           0.0086497,            0.010036,             0.93181,             0.87981,             0.95088,             0.83941,           0.0091877,           0.0027162,            0.026899,           0.0065734,           0.0065734,           0.0065734
                 129,            0.016684,            0.008663,            0.010191,             0.92968,             0.88165,             0.95083,              0.8398,           0.0091835,           0.0027118,            0.027046,           0.0065276,           0.0065276,           0.0065276
                 130,            0.016855,           0.0087228,            0.010208,             0.92855,             0.88231,             0.95074,             0.83926,           0.0091788,           0.0027102,            0.027109,           0.0064816,           0.0064816,           0.0064816
                 131,            0.016783,           0.0087589,            0.010443,             0.92928,             0.88196,             0.95092,             0.83962,           0.0091817,           0.0027088,            0.027134,           0.0064356,           0.0064356,           0.0064356
                 132,            0.016632,           0.0086349,            0.010015,             0.93325,             0.87849,             0.95048,             0.83962,           0.0091865,           0.0027097,            0.027383,           0.0063895,           0.0063895,           0.0063895
                 133,            0.016376,           0.0086075,           0.0096009,             0.92838,             0.88179,             0.95058,             0.84001,           0.0091769,            0.002707,              0.0274,           0.0063432,           0.0063432,           0.0063432
                 134,             0.01632,           0.0084888,           0.0093412,              0.9335,             0.87807,             0.95042,             0.84088,           0.0091609,           0.0027023,            0.027488,           0.0062969,           0.0062969,           0.0062969
                 135,            0.016502,           0.0085969,           0.0097003,             0.93197,             0.87974,             0.95077,             0.84127,           0.0091514,           0.0026996,            0.027458,           0.0062505,           0.0062505,           0.0062505
                 136,            0.016398,            0.008569,           0.0095977,             0.93365,             0.87845,             0.95082,             0.84151,           0.0091476,           0.0026978,            0.027479,            0.006204,            0.006204,            0.006204
                 137,            0.016446,            0.008588,           0.0097223,             0.93345,             0.87923,             0.95074,              0.8415,           0.0091446,           0.0026961,            0.027519,           0.0061574,           0.0061574,           0.0061574
                 138,              0.0164,           0.0086087,           0.0096311,              0.9328,             0.87938,             0.95041,             0.84158,           0.0091446,           0.0026934,            0.027618,           0.0061107,           0.0061107,           0.0061107
                 139,            0.016343,           0.0085481,           0.0098141,             0.93508,             0.87819,             0.95001,             0.84121,           0.0091429,           0.0026905,            0.027739,            0.006064,            0.006064,            0.006064
                 140,            0.016372,           0.0084929,           0.0095613,             0.93856,             0.87531,             0.94983,             0.84125,           0.0091388,           0.0026875,             0.02774,           0.0060172,           0.0060172,           0.0060172
                 141,            0.016343,           0.0084999,           0.0094312,             0.93808,             0.87556,             0.94958,             0.84097,           0.0091445,           0.0026862,            0.027853,           0.0059704,           0.0059704,           0.0059704
                 142,            0.016202,           0.0084872,           0.0092383,              0.9362,             0.87668,              0.9494,             0.84189,           0.0091455,           0.0026867,            0.027859,           0.0059235,           0.0059235,           0.0059235
                 143,            0.016131,           0.0084454,           0.0093311,             0.93735,             0.87611,             0.94881,             0.84106,            0.009147,           0.0026878,            0.027898,           0.0058766,           0.0058766,           0.0058766
                 144,            0.016045,           0.0084119,           0.0093293,              0.9342,             0.87815,             0.94859,             0.84092,           0.0091477,           0.0026885,             0.02789,           0.0058296,           0.0058296,           0.0058296
